error_code,feature,error_description,error_cause,error_response,error_url
XDMP-BACKUPPASSPHRASETOOSHORT,XDMP,Backup passphrase cannot be shorter than 16 characters,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-BACKUPPASSPHRASETOOSHORT
XDMP-BACKUPSTAMP,XDMP,Backup timestamp too old for forest: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-BACKUPSTAMP
XDMP-BAD,XDMP,Bad variable1,"Many different kinds of error can log this message. Refer to the error text for details. Often; XDMP-BAD indicates an unexpected internal error condition.","Refer to the full text of the error for additional information. For more assistance; contact MarkLogic Technical Support if you have a current maintenance contract.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BAD
XDMP-BADANNNS,XDMP,Functions annotations may not use a reserved namespace,A function annotation uses a reserved namespace.,Choose a different namespace.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADANNNS
XDMP-BADAPIVERSION,XDMP,"The plugin is compiled for another version of the MarkLogic plugin API. expected: variable1; found: variable2; host: variable3",The plugin is compiled for another version of the MarkLogic plugin API.,"Recompile the plugin; or otherwise obtain a compatible plugin.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BADAPIVERSION
XDMP-BADARC,XDMP,"Arc must span more than 0 degrees and less than 180 degrees; and cannot cross a pole.","An invalid pair of points was specified to geo:arc-intersection. Each arc passed to geo:arc-intersection must not cover more than 180 degrees; and must not cross a pole.","Correct your code. For more information; see Geospatial Search Applications in the Search Developer's Guide.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BADARC
XDMP-BADBOX,XDMP,Invalid box: variable1 > variable2,"Invalid box coordinates were passed to a geospatial query operation such as a box query. For example; the south boundary of the box is above the north boundary.",Correct your code or data.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADBOX
XDMP-BADBOXSPEC,XDMP,Bad box specification,"An attempt is made to construct a cts:box from a malformed KML Envelope or GML LongLatBox. In particular; the child elements that should be simple values have children of their own.",Fix the GML or KML elements.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADBOXSPEC
XDMP-BADBRK,XDMP,Bad word break rules: variable1,The word break rules are invalid for some reason.,Check your word break rules.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADBRK
XDMP-BADCHAR,XDMP,Unexpected character found variable1,The XQuery lexer found a character where the XQuery language does not permit it to be.,Fix your query to use correct grammar.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADCHAR
XDMP-BADCIRCLE,XDMP,Invalid circle,The radius of the cts:circle is too large. The circle cannot cover the entire earth.,Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADCIRCLE
XDMP-BADCLASSIFIER,XDMP,Invalid classifier specification element,"An invalid classifier was passed to cts:classify. For example; the element supplied as the classifier parameter is not of type cts:classifier. The classifier is usually created by calling cts:train.",Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADCLASSIFIER
XDMP-BADCOLLATION,XDMP,Error in collation variable1,An invalid or non-existent collation URI was specified.,"Correct the collation URI. For more information about collations; see ""Encodings and Collations"" in the Search Developer's Guide.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BADCOLLATION
XDMP-BADCOMMIT,XDMP,Commit finds missing fragments,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADCOMMIT
XDMP-BADDEPTHALL,XDMP,"Invalid depth (should be ""0""; ""1""; or ""infinity"")",,,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADDEPTHALL
XDMP-BADDEPTHSOME,XDMP,"Invalid depth (should be ""0"" or ""infinity"")","An invalid value was supplied for depth to a locking function such as xdmp:lock-acquire. The only values allowed are ""0"" and ""infinity"".","Correct your code. For more information; see the Overview of Locks in the Application Developer's Guide.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BADDEPTHSOME
XDMP-BADDIR,XDMP,Invalid directory URI,"In invalid directory name was supplied to xdmp:directory-create. For example; an empty string or badly formed URI was passed.",Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADDIR
XDMP-BADDOCID,XDMP,Invalid classifier specification element: document id variable1 not found,"A document used in the training set for a supports type classifier is not a valid document. A supports type classifier contains a list of document elements which identify the specific training nodes; using an internal key. The internal key is only valid across queries for nodes in the database. If training and classification are done in different queries when the training documents are not in the database; XDMP-BADDOCID is thrown.",Possible solutions include:,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADDOCID
XDMP-BADEDICT,XDMP,Bad entity dictionary format: line 'variable1',,,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADEDICT
XDMP-BADFORATQNAME,XDMP,"An ""at"" variable may not have the same name as the bound variable",The same variable name is used as both the for variable and its associated positional variable in the at clause. For example:,Correct your code by using different variables in the for and its at clause.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADFORATQNAME
XDMP-BADFORESTUPDATESTATE,XDMP,All forests must not be in read-only or flash-backup mode when backing up with journal archiving,This occurs when trying to do a full database backup with journal archiving enabled and at least one forest is in read-only or flash-backup mode.,Make sure all forests have their update status set to all or delete-only when taking a full database backup with journal archiving.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADFORESTUPDATESTATE
XDMP-BADFORESTUPDATESTATEFLASHBACKUP,XDMP,All forests must be in flash-backup mode when running xdmp:start-journal-archiving,This occurs when running xdmp:start-journal-archiving and at least one forest is not in flash-backup update state.,Put all forests in flash-backup update state when running xdmp:start-journal-archiving.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADFORESTUPDATESTATEFLASHBACKUP
XDMP-BADGEOMETRY,XDMP,Invalid geometry : variable1,The provided geometry violates one or more of the required constraints.,"Correct your code. For more information; see Geospatial Search Applications in the Search Developer's Guide.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BADGEOMETRY
XDMP-BADGEOMETRYTYPE,XDMP,Invalid geometry type,The geometry has an unrecognized type.,,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADGEOMETRYTYPE
XDMP-BADGROUPSEP,XDMP,Group separator must be a single character/codepoint.,The group separator passed to xdmp:format-number contains more than one character or codepoint.,Correct your code to use a single character/codepoint group separator.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADGROUPSEP
XDMP-BADHEX,XDMP,Bad hex string: variable1 is invalid hex string,A string that was not a valid hex-encoded binary string was passed as a parameter where one was expected.,Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADHEX
XDMP-BADJNLNAME,XDMP,Bad journal name: variable1,This error means a journal file with an unexpected filename was encountered.,"If you have a current maintenance contract with MarkLogic; you can contact MarkLogic support.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BADJNLNAME
XDMP-BADJOURNALARCHIVE,XDMP,The journal archive is invalid: variable1,Journal archive file read a bad header frame when resuming journal archiving. This will happen if header stored checksum does not match with its calculated checksum.,"Set journaling option to ""fast"" or ""strict"" for the database this forest is attached to",https://docs.marklogic.com/messages/XDMP-en/XDMP-BADJOURNALARCHIVE
XDMP-BADJSONLABELS,XDMP,Invalid classification labels element,Labels were badly formed.,"Correct your code. For more information; see Training the Classifier in the Application Developer's Guide.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BADJSONLABELS
XDMP-BADLABELS,XDMP,Invalid classification labels element,"An element that is not a cts:label was encountered in the label set passed to cts:train; or a child node that is not a cts:class was encountered on a cts:label.","Correct your code. For more information; see Training the Classifier in the Application Developer's Guide.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BADLABELS
XDMP-BADLABELVALUE,XDMP,Invalid classification label value: must be 1 or -1,"An invalid value was given on the val attribute of a cts:label element supplied to cts:train. If present; the val must be 1 or -1.","Correct your code. For more information; see Training the Classifier in the Application Developer's Guide.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BADLABELVALUE
XDMP-BADLANGKEY,XDMP,Bad tokenizer key language variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADLANGKEY
XDMP-BADLANGOVER,XDMP,Cannot override stemmer/tokenizer for language variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADLANGOVER
XDMP-BADLEXER,XDMP,The lexer could not be initialized: variable1 lexer invalid,The lexer was misconfigured or cannot be used for that language.,Check your language configuration.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADLEXER
XDMP-BADLINESTRING,XDMP,Invalid linestring,Fewer than two vertices were given when constructing a linestring with cts:linestring.,Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADLINESTRING
XDMP-BADLOCKTOKEN,XDMP,Incorrect Lock Token,"The file locking token supplied to the app server when acquiring a lock does not match the locking token supplied when releasing the lock. Your WebDAV client may not be working properly. The WebDAV protocol supports locking of files. When locking a file; a WebDAV client can supply a lock token. When the client is ready to release the lock; the same lock token is supplied. XDMP-BADLOCKTOKEN is thrown when these locking tokens do not match.","Correct the mismatch. If you need assistance determining the cause of the mismatch and have a current maintenance contract; contact MarkLogic Technical Support.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BADLOCKTOKEN
XDMP-BADLOGLEVEL,XDMP,"The second argument level should be one of the following: emergency; alert; critical; error; warning; notice; info; config; debug; fine; finer; or finest. The default level is ""info"".","The second argument of xdmp:log($msg;$level) level is not specified correctly.",Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADLOGLEVEL
XDMP-BADMAP,XDMP,Invalid option: 'map' cannot be used with 'array' option,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADMAP
XDMP-BADMTYPE,XDMP,Backup data directory was created from a different machine type: variable1 (variable2),You attempted to restore from a backup created for a different platform. Backup files are platform-specific. You may not restore a backup to a machine type different from the host where the backup was created.,Restore to a host whose platform matches that of the host that created the backup.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADMTYPE
XDMP-BADNULLABLE,XDMP,Illegal nullable in tuple selector: first tuple selector cannot be nullable: variable1,"The first lexicon selected in cts:value-tuples was given with the option ""nullable"". This is not allowed.","Remove the ""nullable"" option from the first lexicon; or reorder the lexicons so that a nullable on is not the first.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BADNULLABLE
XDMP-BADOCCURS,XDMP,Invalid occurrence indicator: variable1,The min-occurs option value is greater than the max-occurs option value in your query. These options to the cts:query constructors constrain searches to return results only if the search terms appear a minimum or a maximum number of times.,Correct your query constructor options.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADOCCURS
XDMP-BADORDCHAR,XDMP,"Ordchar argument must be either ""yes"" or an ordinal character starting followed by a dash ""-"".",The ordinal number parameter to xdmp:format-number is not one of:,Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADORDCHAR
XDMP-BADPINAME,XDMP,"Invalid processing instruction name ""variable1"" at variable2 line variable3","An unrecognized Processing Instruction was encountered while parsing XML data; on line variable3 of the data with URI variable2. The following is an example of an XML processing instruction:",Correct the processing instruction and try the operation again.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADPINAME
XDMP-BADPLUGINVERSION,XDMP,"The plugin does not match the expected version number. expected: variable1; found: variable2; host: variable3",The plugins loaded on two hosts report different version numbers.,Redeploy your native plugins directory.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADPLUGINVERSION
XDMP-BADPOINTSPEC,XDMP,Bad point specification,"The set of points describing a region or arc in one of the geospatial builtins is invalid. For example; an empty sequence was passed instead of a valid point.",Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADPOINTSPEC
XDMP-BADPOLYGON,XDMP,Invalid polygon,Fewer than three vertices were given when constructing a polygon with cts:polygon.,Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADPOLYGON
XDMP-BADPROP,XDMP,Malformed property,Document properties are malformed.,"If the error occurs when you are creating properties; correct your code. If the error occurs during operations that use previously supplied properties; then the document properties may be corrupted. If you have a current maintenance contract with MarkLogic; you can contact MarkLogic Technical Support for assistance.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BADPROP
XDMP-BADREFERENCE,XDMP,The cts reference cannot be used in this context: variable1,A cts reference was passed to a function that cannot use it.,Use the correct cts reference constructor.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADREFERENCE
XDMP-BADREP,XDMP,Invalid replacement string: variable1,An invalid replacement string was supplied to fn:replace. The error is usually one of these cases:,Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADREP
XDMP-BADREPLVER,XDMP,Cannot synchronize as database replica version variable1 mismatches the master version variable2,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADREPLVER
XDMP-BADRESTOREPATH,XDMP,Not all hosts contained the same restore path,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADRESTOREPATH
XDMP-BADRESTORETOTIME,XDMP,restore-to-time was less than the earliest full backup time in the folder,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADRESTORETOTIME
XDMP-BADRETURN,XDMP,Only use 'return' at the end of a FLWOR expression or typeswitch clause,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADRETURN
XDMP-BADSCHEMA,XDMP,"Invalid schema ""variable1"" at ""variable2"" exception_stack","The schema variable1 at schema URI variable2; used in an XQuery or XSLT schema import; does not meet the validity requirements of XML Schema Part I; as defined by W3C. In a valid schema; all definitions are valid; complete; and unique.",Review and correct your schema. Check for duplicate or erroneous definitions.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADSCHEMA
XDMP-BADSCOPE,XDMP,Invalid scope (should be exclusive or shared),"The scope parameter to xdmp:lock-acquire is not one of ""shared"" or ""exclusive"".",Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADSCOPE
XDMP-BADSECDBVER,XDMP,Bad security database version,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADSECDBVER
XDMP-BADSEMICOLON,XDMP,Semicolons are not necessary as a statement separator in XQuery.,"A semicolon was found where the XQuery grammar does not allow one. You might be trying to terminate a statement with a semicolon; like Java and C++ require - but this is not valid in XQuery.","Correct your XQuery. You might find that using a comma ("";"") is what you want rather than a semicolon.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BADSEMICOLON
XDMP-BADSEMISEP,XDMP,"Semicolons are not necessary as a statement separator in XQuery. Did you mean to use ';'?","A semicolon was found where the XQuery grammar does not allow one. You might be trying to terminate a statement with a semicolon; like Java and C++ require - but this is not valid in XQuery.","Correct your XQuery. You might find that using a comma ("";"") is what you want rather than a semicolon.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BADSEMISEP
XDMP-BADSTARTUPTOKEN,XDMP,"Bad startup token for variable1; variable2 before last journal start variable3",An inconsistency was discovered between forest label and journal files. MarkLogic was not able to resolve the inconsistency and run recovery on the forest.,"Delete both the label and journal files for the forest; and restart the forest. Update your version of MarkLogic to a more recent version.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BADSTARTUPTOKEN
XDMP-BADSTEMMER,XDMP,The stemmer could not be initialized: variable1 stemmer invalid,The stemmer was misconfigured or cannot be used for that language.,Check your language configuration.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADSTEMMER
XDMP-BADTOLERANCE,XDMP,Invalid tolerance: variable1,The provided tolerance is invalid. Tolerance must be a positive real number.,Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADTOLERANCE
XDMP-BADWKB,XDMP,Cannot parse binary data as WKB object: WKB 'variable1' is not parsable,geo:parse-wkb is called with a binary node that cannot be parsed as a WKB object. The data is either malformed or an unsupported WKB type.,Make sure that the data is valid and contains only supported WKB types.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADWKB
XDMP-BADWKT,XDMP,Cannot parse string as WKT object: WKT 'variable1' is not parsable,geo:parse-wkt is called with a string that cannot be parsed as a WKT string. The string is either malformed or an unsupported WKT type.,Make sure that the WKT string is valid and contains only supported WKT types.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BADWKT
XDMP-BASE64BINARYTOOBIG,XDMP,Base64 binary value too big to be serialized to a string,Base64 binary values 3GB or larger cannot be serialized to a string.,Use a smaller value.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BASE64BINARYTOOBIG
XDMP-BINARYNODETOOBIG,XDMP,Binary node too big,Constructed internal binary nodes must be smaller than 4GB.,Use a large binary or external binary instead.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BINARYNODETOOBIG
XDMP-BINARYREAD-EMPTY,XDMP,Binary read returned empty,Either the binary node is empty or you used incorrect offset/count.,Check the binary node and your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BINARYREAD-EMPTY
XDMP-BINARYSIZE,XDMP,Wrong binary size variable1,Found a large binary file with wrong size during replication. The server will re-replicate the file.,"Refer to the full text of the error for additional information. For more assistance; contact MarkLogic Technical Support if you have a current maintenance contract.",https://docs.marklogic.com/messages/XDMP-en/XDMP-BINARYSIZE
XDMP-BINDING-NOT-FOUND-FOR-ATTR,XDMP,Binding not found for attribute: variable1,The binding for an attribute could not be found.,Pass in binding or remove attribute.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BINDING-NOT-FOUND-FOR-ATTR
XDMP-BOUNDS,XDMP,Bounds must be in strictly ascending order,The latitude and longitude bounds parameters to cts:element-geospatial-boxes or cts:element-child-geospatial-boxes are sequences of numbers. This error occurs if the values in either bounds sequence are not listed in ascending order.,Correct your latitude or longitude bounds values to be in ascending order.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BOUNDS
XDMP-BULKNOMERGE,XDMP,Unable to bulk synchronize forests when merge is disabled,"If merges are disabled; bulk replication will not run since it could cause an excessive number of stands.",Enable merges on the database.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BULKNOMERGE
XDMP-BULKNOTOPEN,XDMP,Unable to bulk synchronize forest when forest is not open,The forest must be open to allow bulk synchronization to occur.,Open the forest and try again.,https://docs.marklogic.com/messages/XDMP-en/XDMP-BULKNOTOPEN
XDMP-CANCELED,XDMP,Canceled variable1 variable2,"This message usually indicates that an operation such as a merge; backup or query was explicitly canceled. The message includes information about what operation was canceled. Cancellation may occur through the Admin Interface or by calling an explicit cancellation function; such as xdmp:request-cancel.",,https://docs.marklogic.com/messages/XDMP-en/XDMP-CANCELED
XDMP-CANNOTACCESSBANNER,XDMP,Can't access the banner information. variable1,An error has occurred when trying to read the banner information from the App-Services database.,Please make sure the App-Services database is online.,https://docs.marklogic.com/messages/XDMP-en/XDMP-CANNOTACCESSBANNER
XDMP-CANNOTDECRYPT,XDMP,Cannot decrypt: variable1,There is a key encryption key mismatch,"Make sure the text is actually encrypted. If this text was originally encrypted on a different cluster; importing encryption keys from that cluster may allow decryption.",https://docs.marklogic.com/messages/XDMP-en/XDMP-CANNOTDECRYPT
XDMP-CANNOTENCRYPT,XDMP,Cannot encrypt: variable1,There is a key encryption key mismatch,Make sure that there are not keystore configuration issues.,https://docs.marklogic.com/messages/XDMP-en/XDMP-CANNOTENCRYPT
XDMP-CANNOTGEOOP,XDMP,Geospatial operation not supported on that type of object,"An attempt is made to perform some geospatial operation on a geospatial object that does not support that operation. For example; it is not possible to serialize a cts:box in WKT format; as WKT does not support that type.",Change the application to avoid the unsupported operation.,https://docs.marklogic.com/messages/XDMP-en/XDMP-CANNOTGEOOP
XDMP-CANTDECODEFRAGSETKIND,XDMP,Cannot decode fragset kind variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-CANTDECODEFRAGSETKIND
XDMP-CANTDECODELOCATORORDERERKIND,XDMP,Cannot decode locator orderer kind variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-CANTDECODELOCATORORDERERKIND
XDMP-CANTDECODEQUERYKIND,XDMP,Cannot decode query kind variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-CANTDECODEQUERYKIND
XDMP-CANTDECODESCALARTYPE,XDMP,Cannot decode scalar type variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-CANTDECODESCALARTYPE
XDMP-CAST,XDMP,Invalid cast: variable1 cast as variable2,"An expression or declaration attempted to cast a value to an incompatible type. For example; passing a value to a constructor of a type illegal for the data type being constructed.",Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-CAST
XDMP-CELLCYCLE,XDMP,A cycle was detected in the variable (cell) update,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-CELLCYCLE
XDMP-CHARREF,XDMP,Invalid character reference variable1,variable1 is an invalid character reference. A character references identifies a character by its Unicode codepoint in either decimal or hexadecimal. XDMP-CHARREF may occur if the codepoint value is outside the valid range of values for Unicode or the reference is otherwise malformed.,Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-CHARREF
XDMP-CHARSEARCH,XDMP,Character searches not enabled,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-CHARSEARCH
XDMP-CHILDDUPNAME,XDMP,Object nodes cannot have two children with the same name,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-CHILDDUPNAME
XDMP-CHILDLINK,XDMP,Invalid child link node variable1,A child fragment in a fragmented document is missing.,The document must be reloaded.,https://docs.marklogic.com/messages/XDMP-en/XDMP-CHILDLINK
XDMP-CHILDNODEKIND,XDMP,variable1 nodes cannot have variable2 node children,"You attempted to insert a node of type variable1 as a child of a node of type variable2 where such insertion is not allowed. This may be occurring through an XQuery built-in; such as xdmp:insert-child; or via an XSLT transformation. One example of such invalid insertion is attempting to add an attribute or namespace node as an immediate child of a document node.",Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-CHILDNODEKIND
XDMP-CHILDSEQ,XDMP,Object nodes cannot have sequence children,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-CHILDSEQ
XDMP-CHILDUNNAMED,XDMP,Object nodes cannot have unnamed children,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-CHILDUNNAMED
XDMP-CIRCVAR,XDMP,Circularly defined variable or parameter variable1,"The variable or parameter variable1 depends upon itself. For example; this error will occur if the initialization of a variable includes a call to function which references the variable.",Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-CIRCVAR
XDMP-CLARKNAME,XDMP,"Invalid Clarked qname ""variable1""",,,https://docs.marklogic.com/messages/XDMP-en/XDMP-CLARKNAME
XDMP-CLOCKSKEW,XDMP,Detected clock skew: host variable1 skewed by variable2 seconds,Clock skew is typically due to not having NTP properly functioning on all hosts in the cluster.,Review your NTP configuration/settings,https://docs.marklogic.com/messages/XDMP-en/XDMP-CLOCKSKEW
XDMP-CODEPOINT,XDMP,Codepoint not legal,A character was found that is not a valid XML character while decoding data with fn:codepoints-to-string or xdmp:url-decode.,Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-CODEPOINT
XDMP-COLLATION,XDMP,Unsupported collation: Collation hash variable1 not recognized,"Your database configuration probably includes an invalid collation. For example; the following collation includes contradictory requirements because ""S1"" specifies case insensitive; but ""CU"" specifies upper case first:","The exact steps required to correct the problem depend upon the circumstances under which the error is encountered. If the error occurs during startup or as part of an upgrade and you have a current maintenance contract with MarkLogic; you can contact MarkLogic Technical Support for assistance.",https://docs.marklogic.com/messages/XDMP-en/XDMP-COLLATION
XDMP-COLLATIONCOMPAT,XDMP,Incompatible string arguments,The string arguments to the SPARQL function have incompatible language tags.,"Use identical language tags; or strings without language tags.",https://docs.marklogic.com/messages/XDMP-en/XDMP-COLLATIONCOMPAT
XDMP-COLLATIONURI,XDMP,Collation URI variable1 is not valid,"Your XQuery prolog contains more than one default collation declaration; or the default collation declaration specifies an unknown collation.",Correct your code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-COLLATIONURI
XDMP-COLLDIFF,XDMP,String objects have different collations,"The String objects have different collations; and cannot be compared.","Consider constructing new String objects; specifying the collation required for comparison.",https://docs.marklogic.com/messages/XDMP-en/XDMP-COLLDIFF
XDMP-COLLNOBINDING,XDMP,Available collections provides no mapping for URI,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-COLLNOBINDING
XDMP-COLLXCNNOTFOUND,XDMP,Collection lexicon not enabled,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-COLLXCNNOTFOUND
XDMP-COLSTRCOMPAT,XDMP,Incompatible collated string arguments,The string arguments to the function have incompatible collations,"Use identical collations; or strings without collations.",https://docs.marklogic.com/messages/XDMP-en/XDMP-COLSTRCOMPAT
XDMP-COMMENTHYPHEN,XDMP,XML comments cannot end with a hyphen,The text in a comment node ends with a hyphen. For example:,Remove the trailing hyphen or add additional text after the hyphen.,https://docs.marklogic.com/messages/XDMP-en/XDMP-COMMENTHYPHEN
XDMP-COMMENTHYPHENS,XDMP,XML comments cannot contain two adjacent hyphens,The text in a comment node contains two adjacent hyphens. For example:,"Correct your code. For example; remove one of the hyphens.",https://docs.marklogic.com/messages/XDMP-en/XDMP-COMMENTHYPHENS
XDMP-COMMITLIB,XDMP,Commit option cannot be used in library modules,Commit option was specified in an XQuery library module.,Move the commit option to the main module.,https://docs.marklogic.com/messages/XDMP-en/XDMP-COMMITLIB
XDMP-COMMITTXNMODE,XDMP,Commit option cannot be specified with transaction mode option,Commit option was specified in combination with transaction mode option.,Remove the transaction mode option.,https://docs.marklogic.com/messages/XDMP-en/XDMP-COMMITTXNMODE
XDMP-COMPARE,XDMP,Items not comparable: variable1 variable2 variable3,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-COMPARE
XDMP-COMPLEX,XDMP,Node has complex content,An attempt was made to atomize an XML element node that cannot be atomized. The element node has complex content that cannot be converted to an atomic value. Some code is attempting to convert the node to an atomic value.,The code should not explicitly atomize the node by calling fn:data on it. The code should not implicitly atomize the node by passing it as a parameter to a function expecting an atomic value.,https://docs.marklogic.com/messages/XDMP-en/XDMP-COMPLEX
XDMP-COMPTREECACHEFULL,XDMP,Compressed tree cache full on host variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-COMPTREECACHEFULL
XDMP-COMPUTE,XDMP,"Cannot compute variable2((variable1; variable3))",,,https://docs.marklogic.com/messages/XDMP-en/XDMP-COMPUTE
XDMP-CONFLICTINGUPDATES,XDMP,Conflicting updates variable1 and variable2,"The application attempted to perform multiple updates to the same document within the same transaction. A single statement may not perform more than one update to the same document. For example; you cannot update a node and add a child element to that node in the same statement.","Revise your application code to perform the conflicting operations in two separate statements. For example; use the semicolon transaction delimiter; or execute the second update inside an xdmp:eval with the isolation option set to different-transaction. For more information; see Understanding Transactions in MarkLogic Server in the Application Developer's Guide.",https://docs.marklogic.com/messages/XDMP-en/XDMP-CONFLICTINGUPDATES
XDMP-CONFLICTOPT,XDMP,Isolation option value conflicts with transaction mode option,Isolation option value conflicts with transaction mode option,Remove the transaction mode option.,https://docs.marklogic.com/messages/XDMP-en/XDMP-CONFLICTOPT
XDMP-CONSTRNOTFOUND,XDMP,No constraint for variable1,Your search string included a constraint name that was not found.,Ensure you provide a mapping for the constraint.,https://docs.marklogic.com/messages/XDMP-en/XDMP-CONSTRNOTFOUND
XDMP-CONTEXT,XDMP,Expression depends on the context where none is defined,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-CONTEXT
XDMP-CONTEXTITEMNOTNODE,XDMP,Context item is not a node,You tried to operate on the context item as a node when it is an atomic type.,Correct your query.,https://docs.marklogic.com/messages/XDMP-en/XDMP-CONTEXTITEMNOTNODE
XDMP-CONVLINK,XDMP,Failed to create soft links for conversion: variable1 'variable2': variable3,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-CONVLINK
XDMP-COPYONVALIDATEOPTVAL,XDMP,"Invalid xdmp:copy-on-validate option value; must be ""true"" or ""false""",,,https://docs.marklogic.com/messages/XDMP-en/XDMP-COPYONVALIDATEOPTVAL
XDMP-COPYSAMEDIR,XDMP,"Forest cannot be copied into the same location as the current data directory: variable1; variable2",,,https://docs.marklogic.com/messages/XDMP-en/XDMP-COPYSAMEDIR
